Element,Color
H,blue
Li,blue
Na,blue
K,blue
Rb,blue
Cs,blue
Fr,blue
Be,blue
Mg,blue
Ca,blue
Sr,blue
Ba,blue
Ra,blue
Sc,blue
Y,blue
La,blue
Ce,blue
Pr,blue
Nd,blue
Pm,blue
Sm,blue
Eu,blue
Gd,blue
Tb,blue
Dy,blue
Ho,blue
Er,blue
Tm,blue
Yb,blue
Lu,blue
Ac,blue
Th,blue
Pa,blue
U,blue
Np,blue
Pu,blue
Am,blue
Cm,blue
Bk,blue
Cf,blue
Es,blue
Fm,blue
Md,blue
Md,blue
No,blue
Lr,blue
Ti,grey
V,grey
Cr,grey
Mn,grey
Fe,grey
Co,grey
Ni,grey
Zr,grey
Nb,grey
Mo,grey
Tc,grey
Ru,grey
Rh,grey
Pd,grey
Hf,grey
Ta,grey
W,grey
Re,grey
Os,grey
Ir,grey
Pt,grey
Cu,pink
Zn,pink
Ag,pink
Cd,pink
Au,pink
Hg,pink
B,red
Al,red
Ga,red
In,red
Tl,red
Si,red
Ge,red
Sn,red
Pb,red
As,red
Sb,red
Bi,red
Te,red
Se,red
Po,red
At,red
P,red
C,red
S,red
F,red
I,red
Cl,red
Br,red

